species,Wwi,genus,family,order,class,phylum,metamorphosis,p_Am,kap,v,p_M,E_G,E_Hb,E_Hx,E_Hj,E_Hp,k_J,s_M,data_split
Abbottina_rivularis,7.9000000000e+01,Abbottina,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,5.3617532085e+01,9.7148913303e-01,2.2091313119e-02,2.1517908815e+01,5.2263138844e+03,5.2719239329e-02,5.2719239329e-02,1.9201651487e-01,1.2886386477e+02,2.0000000000e-03,1.5339678156e+00,train
Ablennes_hians,4.2000000000e+03,Ablennes,Belonidae,Beloniformes,Actinopterygii,Chordata,True,2.3183121525e+02,9.9690198732e-01,2.2323999252e-02,2.1267776131e+01,5.2275691530e+03,2.6045037565e-03,2.6045037565e-03,2.2574697694e-02,9.5547228136e+02,2.0000000000e-03,2.0524456554e+00,test
Abramis_brama,6.0500000000e+03,Abramis,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,True,4.6951008872e+02,6.2164324787e-01,1.4533792790e-02,2.8027564192e+01,5.2082421107e+03,5.4949300261e-01,5.4949300261e-01,5.4949300406e-01,2.4226014513e+05,1.5625796067e-03,1.0000000009e+00,train
Abroscopus_superciliaris,6.5000000000e+00,Abroscopus,Cisticolidae,Passeriformes,Aves,Chordata,False,8.5222733796e+02,9.4756187954e-01,3.1666254536e-02,7.4253558703e+02,7.3134844398e+03,1.0310625941e+02,6.9561146822e+02,1.0310625942e+02,1.5075848310e+03,3.0212276351e-02,1.0000000000e+00,train
Acanthis_flammea,1.4200000000e+01,Acanthis,Fringillidae,Passeriformes,Aves,Chordata,False,3.2777103956e+03,8.7897283883e-01,2.6571018578e-02,3.2301478427e+03,7.3232204585e+03,1.7394598204e+02,1.0046362163e+03,1.7394598206e+02,2.0674514926e+03,1.3249576910e-01,1.0000000000e+00,val
Acanthis_hornemanni,1.2700000000e+01,Acanthis,Fringillidae,Passeriformes,Aves,Chordata,False,2.2959366038e+03,9.2202312719e-01,2.7040333002e-02,2.1849350764e+03,7.3235306104e+03,1.4306063843e+02,8.5518171444e+02,1.4306063844e+02,1.6755704187e+03,8.9091595306e-02,1.0000000000e+00,train
Acanthisitta_chloris,7.0000000000e+00,Acanthisitta,Acanthisittidae,Passeriformes,Aves,Chordata,False,6.9132225927e+02,6.9463392552e-01,1.9257383797e-02,4.6894788622e+02,7.3220880257e+03,9.5786746610e+02,5.4454115445e+03,9.5786746620e+02,1.0406578483e+04,1.9204022515e-02,1.0000000000e+00,train
Acanthiza_chrysorrhoa,3.1000000000e+01,Acanthiza,Acanthizidae,Passeriformes,Aves,Chordata,False,1.6877837011e+03,8.4955768942e-01,2.4590322658e-02,1.0354548935e+03,7.3227308466e+03,7.8593349595e+02,4.6546708015e+03,7.8593349603e+02,9.8676963303e+03,4.2364975199e-02,1.0000000000e+00,test
Acanthiza_inornata,2.1000000000e+01,Acanthiza,Acanthizidae,Passeriformes,Aves,Chordata,False,1.3454062480e+03,8.2753858592e-01,2.4382399825e-02,8.5288197565e+02,7.3214412460e+03,1.0917437051e+03,4.7763019530e+03,1.0917437052e+03,9.5259321309e+03,3.5099726461e-02,1.0000000000e+00,train
Acanthochromis_polyacanthus,1.5200000000e+02,Acanthochromis,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,True,3.4347889601e+01,9.8575336264e-01,1.9714744275e-02,2.5615178538e+01,5.2213690452e+03,2.4934825833e-01,2.4934825833e-01,1.2560821745e+01,1.5461188816e+03,2.0000000000e-03,3.6264149755e+00,train
